Date,Close,High,Low,Open,Volume,Ticker
2005-09-30,17.775859832763672,17.92785015269493,17.692957219813234,17.9002150699026,57644500,MSFT
2005-10-03,17.616958618164062,17.775856360037555,17.57550731978685,17.762038821340813,55341300,MSFT
2005-10-04,17.25771141052246,17.540964379884326,17.098813660434214,17.52023938848078,151666300,MSFT
2005-10-05,17.04354476928711,17.30607142874345,17.04354476928711,17.299163976771748,73684700,MSFT
2005-10-06,17.084993362426758,17.236983635981723,16.94682194376473,17.036633300009402,81724600,MSFT
2005-10-07,16.98828125,17.160996593072213,16.93992116477394,17.11263650784615,50768700,MSFT
2005-10-10,16.898460388183594,17.050450660160497,16.822466569908002,17.043541891642196,48880900,MSFT
2005-10-11,16.86391830444336,16.96063843080393,16.75338064068474,16.93300467372072,76567300,MSFT
2005-10-12,16.787927627563477,17.06427317810689,16.76720263367199,16.919191632300272,71294400,MSFT
2005-10-13,16.98828125,17.085001420452123,16.767205821701726,16.794839591382264,70192000,MSFT
2005-10-14,17.04354476928711,17.084996069682727,16.926098320071965,17.071178530313162,53846700,MSFT
2005-10-17,16.946823120117188,17.057360789804857,16.88464551620375,17.050452020735257,46924400,MSFT
2005-10-18,16.974468231201172,17.154092394004454,16.891565582346637,16.919199359393534,69328200,MSFT
2005-10-19,17.333709716796875,17.333709716796875,16.926101453918108,16.96755276198838,66574500,MSFT
2005-10-20,17.12645149230957,17.361343111491127,17.091907638228975,17.306074262675473,58830600,MSFT
2005-10-21,17.119531631469727,17.271520537826117,16.974450173741516,17.209342958472945,69431200,MSFT
2005-10-24,17.340621948242188,17.340621948242188,17.05046009841915,17.195540364473878,51868000,MSFT
2005-10-25,17.29226303100586,17.36134812368521,17.154090210219795,17.23699416623417,41310500,MSFT
2005-10-26,17.347532272338867,17.499521324331806,17.223176994474777,17.25081076860363,58178100,MSFT
2005-10-27,17.16790008544922,17.45806182528856,17.16790008544922,17.423517976668943,61566100,MSFT
2005-10-28,17.6376895904541,17.68604967096839,17.340619018479607,17.340619018479607,106559300,MSFT
2005-10-31,17.75513458251953,17.82421965307824,17.616961805975595,17.692956964846086,75122100,MSFT
2005-11-01,17.934762954711914,18.03148445561892,17.69296249672857,17.69296249672857,71370400,MSFT
2005-11-02,18.280187606811523,18.30782268865524,17.914031996374884,17.914031996374884,75067100,MSFT
2005-11-03,18.26637077331543,18.404542224777956,18.135106774369824,18.376908461570725,73421600,MSFT
2005-11-04,18.41835594177246,18.452898468039113,18.27327575019702,18.328544582851414,57464000,MSFT
2005-11-07,18.660167694091797,18.70852778416534,18.44600101617455,18.459817243542968,77104800,MSFT
2005-11-08,18.687795639038086,18.777608336351054,18.49435533906532,18.61180180021159,60091700,MSFT
2005-11-09,18.62561798095703,18.75688198257835,18.611801757928376,18.6394355216989,59562100,MSFT
